disease_name,cause,natural_pesticide
brown spot,Poor soil fertility,Buttermilk spray
bacterial panicle blight,Burkholderia bacteria,Garlic + Chili extract
bacterial panicle blight,High temperature,Panchagavya
normal,Healthy crop,Maintain field hygiene
bacterial leaf blight,Infected seeds,Pseudomonas Fluorescens
downy mildew,Cool humid weather,Milk spray
brown spot,Fungal infection,Vermicompost tea
bacterial leaf streak,Warm humid weather,Neem Oil
brown spot,Poor soil fertility,Seaweed extract
bacterial leaf blight,Poor field drainage,Cow urine solution
blast,Magnaporthe oryzae fungus,Baking soda spray
bacterial leaf blight,Xanthomonas oryzae bacteria,Neem Oil Spray
dead heart,Poor pest management,Neem seed kernel extract
bacterial panicle blight,Burkholderia bacteria,Garlic + Chili extract
normal,Good crop condition,No pesticide required
normal,Healthy crop,Use organic fertilizer
bacterial leaf blight,Xanthomonas oryzae bacteria,Neem Oil Spray
downy mildew,Water stagnation,Baking soda spray
normal,Good crop condition,No pesticide required
bacterial leaf blight,High humidity and rain,Garlic Extract Spray
brown spot,Drought stress,Seaweed extract
blast,Excess nitrogen,Baking soda spray
normal,Healthy crop,Maintain field hygiene
brown spot,Fungal infection,Buttermilk spray
brown spot,Drought stress,Buttermilk spray
tungro,Vector transmission,Neem Oil
bacterial panicle blight,High temperature,Trichoderma spray
hispa,Rice hispa insect,Neem Oil
brown spot,Nutrient deficiency,Seaweed extract
brown spot,Drought stress,Vermicompost tea
blast,High humidity,Baking soda spray
dead heart,Poor pest management,Neem seed kernel extract
dead heart,Insect larvae attack,Pheromone traps
normal,Healthy crop,Maintain field hygiene
bacterial leaf blight,High humidity and rain,Garlic Extract Spray
dead heart,Stem borer insect,Neem Oil
normal,No infection,Use organic fertilizer
dead heart,Poor pest management,Neem Oil
tungro,Rice tungro virus,Garlic spray
brown spot,Nutrient deficiency,Vermicompost tea
downy mildew,Cool humid weather,Neem oil spray
dead heart,Stem borer insect,Neem Oil
blast,Excess nitrogen,Compost tea
hispa,Leaf scraping insects,Chili garlic spray
blast,High humidity,Baking soda spray
blast,Excess nitrogen,Baking soda spray
brown spot,Fungal infection,Seaweed extract
blast,Excess nitrogen,Trichoderma viride
tungro,Rice tungro virus,Yellow sticky traps
downy mildew,Water stagnation,Milk spray
downy mildew,Water stagnation,Baking soda spray
tungro,Vector transmission,Yellow sticky traps
brown spot,Nutrient deficiency,Vermicompost tea
downy mildew,Water stagnation,Garlic extract
normal,No infection,Maintain field hygiene
blast,High humidity,Neem Oil
dead heart,Insect larvae attack,Light traps
downy mildew,Water stagnation,Garlic extract
bacterial panicle blight,High temperature,Panchagavya
bacterial panicle blight,Dense planting,Panchagavya
hispa,Dry weather,Soap water spray
bacterial leaf streak,Bacterial infection,Biocontrol bacteria
downy mildew,Water stagnation,Milk spray
normal,Good crop condition,No pesticide required
blast,Magnaporthe oryzae fungus,Baking soda spray
bacterial leaf blight,Poor field drainage,Pseudomonas Fluorescens
blast,High humidity,Trichoderma viride
hispa,Leaf scraping insects,Soap water spray
blast,Magnaporthe oryzae fungus,Compost tea
normal,No infection,No pesticide required
downy mildew,Fungal infection,Neem oil spray
hispa,Dry weather,Chili garlic spray
dead heart,Poor pest management,Neem Oil
hispa,Rice hispa insect,Soap water spray
normal,No infection,Use organic fertilizer
tungro,Green leafhopper,Garlic spray
downy mildew,Water stagnation,Milk spray
blast,Cold night temperature,Compost tea
hispa,Rice hispa insect,Soap water spray
downy mildew,Water stagnation,Neem oil spray
downy mildew,Water stagnation,Neem oil spray
bacterial leaf blight,High humidity and rain,Cow urine solution
bacterial panicle blight,High temperature,Trichoderma spray
tungro,Green leafhopper,Neem Oil
hispa,Rice hispa insect,Chili garlic spray
hispa,Leaf scraping insects,Neem seed extract
downy mildew,Cool humid weather,Neem oil spray
brown spot,Drought stress,Buttermilk spray
tungro,Rice tungro virus,Neem Oil
brown spot,Drought stress,Vermicompost tea
normal,No infection,Use organic fertilizer
bacterial leaf streak,Contaminated irrigation water,Buttermilk spray
brown spot,Fungal infection,Buttermilk spray
hispa,Leaf scraping insects,Soap water spray
bacterial panicle blight,Burkholderia bacteria,Panchagavya
downy mildew,Fungal infection,Baking soda spray
bacterial panicle blight,Dense planting,Panchagavya
blast,Magnaporthe oryzae fungus,Trichoderma viride
downy mildew,Water stagnation,Milk spray
brown spot,Drought stress,Neem Oil
dead heart,Poor pest management,Neem seed kernel extract
bacterial panicle blight,Burkholderia bacteria,Garlic + Chili extract
downy mildew,Water stagnation,Milk spray
downy mildew,Cool humid weather,Garlic extract
tungro,Rice tungro virus,Neem seed extract
blast,High humidity,Trichoderma viride
bacterial leaf blight,High humidity and rain,Garlic Extract Spray
bacterial leaf blight,Xanthomonas oryzae bacteria,Cow urine solution
tungro,Vector transmission,Neem Oil
tungro,Rice tungro virus,Neem seed extract
downy mildew,Cool humid weather,Baking soda spray
bacterial panicle blight,High temperature,Neem Oil Spray
normal,No infection,Maintain field hygiene
tungro,Green leafhopper,Garlic spray
brown spot,Fungal infection,Neem Oil
hispa,Leaf scraping insects,Neem seed extract
bacterial panicle blight,High humidity,Trichoderma spray
bacterial panicle blight,Dense planting,Trichoderma spray
bacterial leaf blight,Xanthomonas oryzae bacteria,Cow urine solution
brown spot,Drought stress,Neem Oil
downy mildew,Fungal infection,Milk spray
brown spot,Poor soil fertility,Seaweed extract
bacterial leaf streak,Warm humid weather,Biocontrol bacteria
normal,Healthy crop,Use organic fertilizer
tungro,Vector transmission,Yellow sticky traps
normal,Healthy crop,No pesticide required
bacterial leaf streak,Infected crop residues,Turmeric extract
hispa,Dry weather,Neem seed extract
normal,No infection,Maintain field hygiene
blast,Magnaporthe oryzae fungus,Neem Oil
brown spot,Nutrient deficiency,Neem Oil
tungro,Rice tungro virus,Garlic spray
normal,Good crop condition,No pesticide required
tungro,Vector transmission,Neem Oil
blast,Magnaporthe oryzae fungus,Neem Oil
brown spot,Drought stress,Vermicompost tea
dead heart,Stem borer insect,Pheromone traps
normal,No infection,No pesticide required
hispa,Leaf scraping insects,Neem Oil
dead heart,Poor pest management,Neem Oil
bacterial leaf streak,Infected crop residues,Turmeric extract
hispa,Dry weather,Neem Oil
bacterial panicle blight,High temperature,Neem Oil Spray
dead heart,Insect larvae attack,Neem Oil
tungro,Vector transmission,Yellow sticky traps
tungro,Green leafhopper,Neem seed extract
blast,Excess nitrogen,Compost tea
bacterial leaf streak,Bacterial infection,Biocontrol bacteria
hispa,Dry weather,Neem seed extract
tungro,Rice tungro virus,Yellow sticky traps
tungro,Vector transmission,Yellow sticky traps
blast,High humidity,Compost tea
normal,Healthy crop,No pesticide required
hispa,Rice hispa insect,Neem seed extract
downy mildew,Fungal infection,Milk spray
normal,Good crop condition,Use organic fertilizer
tungro,Rice tungro virus,Garlic spray
normal,Good crop condition,No pesticide required
downy mildew,Water stagnation,Baking soda spray
blast,Magnaporthe oryzae fungus,Compost tea
bacterial leaf streak,Contaminated irrigation water,Buttermilk spray
dead heart,Insect larvae attack,Light traps
hispa,Leaf scraping insects,Neem seed extract
blast,Cold night temperature,Neem Oil
tungro,Rice tungro virus,Neem Oil
downy mildew,Water stagnation,Garlic extract
normal,Good crop condition,Maintain field hygiene
bacterial leaf streak,Infected crop residues,Neem Oil
bacterial leaf blight,Infected seeds,Cow urine solution
blast,Excess nitrogen,Compost tea
dead heart,Poor pest management,Neem Oil
bacterial panicle blight,Dense planting,Neem Oil Spray
bacterial leaf blight,Xanthomonas oryzae bacteria,Garlic Extract Spray
tungro,Green leafhopper,Neem Oil
tungro,Rice tungro virus,Neem Oil
bacterial leaf streak,Bacterial infection,Neem Oil
bacterial leaf streak,Bacterial infection,Neem Oil
normal,Healthy crop,Maintain field hygiene
normal,Healthy crop,Maintain field hygiene
